Date,Score,Home_team,Away_team,Home_goals,Away_goals
16 Nov 2019,1-2,Israel,Poland,1,2
19 Nov 2019,3-2,Poland,Slovenia,3,2
04 Sep 2020,1-0,Netherlands,Poland,1,0
07 Sep 2020,1-2,Bosnia and Herzegovina,Poland,1,2
07 Oct 2020,5-1,Poland,Finland,5,1
14 Oct 2020,3-0,Poland,Bosnia and Herzegovina,3,0
11 Nov 2020,2-0,Poland,Ukraine,2,0
15 Nov 2020,2-0,Italy,Poland,2,0
18 Nov 2020,1-2,Poland,Netherlands,1,2
25 Mar 2021,3-3,Hungary,Poland,3,3
28 Mar 2021,3-0,Poland,Andorra,3,0
31 Mar 2021,2-1,England,Poland,2,1
05 Sep 2018,3-0,Slovakia,Denmark,3,0
09 Sep 2018,1-0,Ukraine,Slovakia,1,0
13 Oct 2018,1-2,Slovakia,Czech Republic,1,2
16 Oct 2018,1-1,Sweden,Slovakia,1,1
16 Nov 2018,4-1,Slovakia,Ukraine,4,1
19 Nov 2018,1-0,Czech Republic,Slovakia,1,0
21 Mar 2019,2-0,Slovakia,Hungary,2,0
24 Mar 2019,1-0,Wales,Slovakia,1,0
07 Jun 2019,5-1,Slovakia,Jordan,5,1
11 Jun 2019,1-5,Azerbaijan,Slovakia,1,5
06 Sep 2019,0-4,Slovakia,Croatia,0,4
09 Sep 2019,1-2,Hungary,Slovakia,1,2
13 Oct 2019,1-1,Slovakia,Paraguay,1,1
16 Nov 2019,3-1,Croatia,Slovakia,3,1
19 Nov 2019,2-0,Slovakia,Azerbaijan,2,0
04 Sep 2020,1-3,Slovakia,Czech Republic,1,3
07 Sep 2020,1-1,Israel,Slovakia,1,1
08 Oct 2020,0-0 (4-2),Slovakia,Republic of Ireland,4,2
11 Oct 2020,1-0,Scotland,Slovakia,1,0
14 Oct 2020,2-3,Slovakia,Israel,2,3
12 Nov 2020,1-2,Northern Ireland,Slovakia,1,2
15 Nov 2020,1-0,Slovakia,Scotland,1,0
18 Nov 2020,2-0,Czech Republic,Slovakia,2,0
24 Mar 2021,0-0,Cyprus,Slovakia,0,0
27 Mar 2021,2-2,Slovakia,Malta,2,2
30 Mar 2021,2-1,Slovakia,Russia,2,1
06 Sep 2018,2-0,Austria,Sweden,2,0
10 Sep 2018,2-3,Sweden,Turkey,2,3
17 Nov 2018,0-1,Turkey,Sweden,0,1
20 Nov 2018,2-0,Sweden,Russia,2,0
08 Jan 2019,1-0,Finland,Sweden,1,0
11 Jan 2019,2-2,Iceland,Sweden,2,2
23 Mar 2019,2-1,Sweden,Romania,2,1
26 Mar 2019,3-3,Norway,Sweden,3,3
07 Jun 2019,3-0,Sweden,Malta,3,0
10 Jun 2019,3-0,Spain,Sweden,3,0
05 Sep 2019,0-4,Faroe Islands,Sweden,0,4
08 Sep 2019,1-1,Sweden,Norway,1,1
12 Oct 2019,0-4,Malta,Sweden,0,4
15 Nov 2019,0-2,Romania,Sweden,0,2
18 Nov 2019,3-0,Sweden,Faroe Islands,3,0
09 Jan 2020,0-1,Moldova,Sweden,0,1
12 Jan 2020,0-1,Kosovo,Sweden,0,1
05 Sep 2020,0-1,Sweden,France,0,1
08 Sep 2020,0-2,Sweden,Portugal,0,2
08 Oct 2020,1-2,Russia,Sweden,1,2
11 Oct 2020,2-1,Croatia,Sweden,2,1
14 Oct 2020,3-0,Portugal,Sweden,3,0
11 Nov 2020,2-0,Denmark,Sweden,2,0
14 Nov 2020,2-1,Sweden,Croatia,2,1
17 Nov 2020,4-2,France,Sweden,4,2
25 Mar 2021,1-0,Sweden,Georgia,1,0
28 Mar 2021,0-3,Kosovo,Sweden,0,3
31 Mar 2021,1-0,Sweden,Estonia,1,0
29 May 2021,2-0,Sweden,Finland,2,0
06 Sep 2018,0-0,Germany,France,0,0
09 Sep 2018,2-1,Germany,Peru,2,1
13 Oct 2018,3-0,Netherlands,Germany,3,0
16 Oct 2018,2-1,France,Germany,2,1
15 Nov 2018,3-0,Germany,Russia,3,0
20 Mar 2019,1-1,Germany,Serbia,1,1
24 Mar 2019,2-3,Netherlands,Germany,2,3
08 Jun 2019,0-2,Belarus,Germany,0,2
11 Jun 2019,8-0,Germany,Estonia,8,0
06 Sep 2019,2-4,Germany,Netherlands,2,4
09 Sep 2019,0-2,Northern Ireland,Germany,0,2
09 Oct 2019,2-2,Germany,Argentina,2,2
13 Oct 2019,0-3,Estonia,Germany,0,3
16 Nov 2019,4-0,Germany,Belarus,4,0
19 Nov 2019,6-1,Germany,Northern Ireland,6,1
10 Oct 2020,1-2,Ukraine,Germany,1,2
11 Nov 2020,1-0,Germany,Czech Republic,1,0
14 Nov 2020,3-1,Germany,Ukraine,3,1
17 Nov 2020,6-0,Spain,Germany,6,0
25 Mar 2021,3-0,Germany,Iceland,3,0
28 Mar 2021,0-1,Romania,Germany,0,1
31 Mar 2021,1-2,Germany,North Macedonia,1,2
10 Sep 2018,1-0,Portugal,Italy,1,0
11 Oct 2018,2-3,Poland,Portugal,2,3
14 Oct 2018,1-3,Scotland,Portugal,1,3
25 Mar 2019,1-1,Portugal,Serbia,1,1
05 Jun 2019,3-1,Portugal,Switzerland,3,1
09 Jun 2019,1-0,Portugal,Netherlands,1,0
07 Sep 2019,2-4,Serbia,Portugal,2,4
10 Sep 2019,1-5,Lithuania,Portugal,1,5
11 Oct 2019,3-0,Portugal,Luxembourg,3,0
14 Oct 2019,2-1,Ukraine,Portugal,2,1
14 Nov 2019,6-0,Portugal,Lithuania,6,0
17 Nov 2019,0-2,Luxembourg,Portugal,0,2
05 Sep 2020,4-1,Portugal,Croatia,4,1
08 Sep 2020,0-2,Sweden,Portugal,0,2
11 Oct 2020,0-0,France,Portugal,0,0
14 Oct 2020,3-0,Portugal,Sweden,3,0
11 Nov 2020,7-0,Portugal,Andorra,7,0
14 Nov 2020,0-1,Portugal,France,0,1
17 Nov 2020,2-3,Croatia,Portugal,2,3
24 Mar 2021,1-0,Portugal,Azerbaijan,1,0
27 Mar 2021,2-2,Serbia,Portugal,2,2
30 Mar 2021,1-3,Luxembourg,Portugal,1,3
09 Sep 2018,2-1,France,Netherlands,2,1
11 Oct 2018,2-2,France,Iceland,2,2
16 Oct 2018,2-1,France,Germany,2,1
16 Nov 2018,2-0,Netherlands,France,2,0
20 Nov 2018,1-0,France,Uruguay,1,0
22 Mar 2019,1-4,Moldova,France,1,4
25 Mar 2019,4-0,France,Iceland,4,0
02 Jun 2019,2-0,France,Bolivia,2,0
08 Jun 2019,2-0,Turkey,France,2,0
11 Jun 2019,0-4,Andorra,France,0,4
07 Sep 2019,4-1,France,Albania,4,1
10 Sep 2019,3-0,France,Andorra,3,0
11 Oct 2019,0-1,Iceland,France,0,1
14 Nov 2019,2-1,France,Moldova,2,1
17 Nov 2019,0-2,Albania,France,0,2
05 Sep 2020,0-1,Sweden,France,0,1
08 Sep 2020,4-2,France,Croatia,4,2
07 Oct 2020,7-1,France,Ukraine,7,1
14 Oct 2020,1-2,Croatia,France,1,2
11 Nov 2020,0-2,France,Finland,0,2
14 Nov 2020,0-1,Portugal,France,0,1
17 Nov 2020,4-2,France,Sweden,4,2
28 Mar 2021,0-2,Kazakhstan,France,0,2
31 Mar 2021,0-1,Bosnia and Herzegovina,France,0,1
08 Sep 2018,1-0,Finland,Hungary,1,0
11 Sep 2018,2-1,Hungary,Greece,2,1
12 Oct 2018,1-0,Greece,Hungary,1,0
15 Oct 2018,3-3,Estonia,Hungary,3,3
15 Nov 2018,2-0,Hungary,Estonia,2,0
18 Nov 2018,2-0,Hungary,Finland,2,0
21 Mar 2019,2-0,Slovakia,Hungary,2,0
24 Mar 2019,2-1,Hungary,Croatia,2,1
08 Jun 2019,1-3,Azerbaijan,Hungary,1,3
11 Jun 2019,1-0,Hungary,Wales,1,0
05 Sep 2019,2-1,Montenegro,Hungary,2,1
09 Sep 2019,1-2,Hungary,Slovakia,1,2
10 Oct 2019,3-0,Croatia,Hungary,3,0
13 Oct 2019,1-0,Hungary,Azerbaijan,1,0
15 Nov 2019,1-2,Hungary,Uruguay,1,2
19 Nov 2019,2-0,Wales,Hungary,2,0
03 Sep 2020,0-1,Turkey,Hungary,0,1
06 Sep 2020,2-3,Hungary,Russia,2,3
08 Oct 2020,1-3,Bulgaria,Hungary,1,3
11 Oct 2020,0-1,Serbia,Hungary,0,1
12 Nov 2020,2-1,Hungary,Iceland,2,1
15 Nov 2020,1-1,Hungary,Serbia,1,1
18 Nov 2020,2-0,Hungary,Turkey,2,0
28 Mar 2021,0-3,San Marino,Hungary,0,3
31 Mar 2021,1-4,Andorra,Hungary,1,4
