date,rank,team,points
01 July 2018,59,Jamaica,1720
01 July 2018,60,Slovenia,1719
01 July 2018,61,Norway,1711
01 July 2018,62,Bolivia,1702
01 July 2018,63,Honduras,1683
01 July 2018,64,Finland,1674
01 July 2018,65,Côte d'Ivoire,1673
01 July 2018,66,Algeria,1641
01 July 2018,67,Saudi Arabia,1639
01 July 2018,68,Syria,1637
01 July 2018,69,Mali,1628
01 July 2018,70,China PR,1625
01 July 2018,71,South Africa,1623
01 July 2018,71,Cape Verde Islands,1623
01 July 2018,73,Guinea,1613
01 July 2018,74,United Arab Emirates,1606
01 July 2018,75,FYR Macedonia,1601
01 July 2018,76,Canada,1593
01 July 2018,77,Zambia,1592
01 July 2018,78,El Salvador,1580
01 July 2018,79,Belarus,1579
01 July 2018,80,Uzbekistan,1572
01 July 2018,81,Uganda,1568
01 July 2018,82,Luxembourg,1538
01 July 2018,83,Lebanon,1536
01 July 2018,84,Iraq,1534
01 July 2018,85,Congo,1532
01 July 2018,86,Oman,1530
01 July 2018,87,Israel,1523
01 July 2018,88,Benin,1520
01 July 2018,89,Gabon,1507
01 July 2018,90,Cyprus,1505
01 July 2018,91,Trinidad and Tobago,1503
01 July 2018,92,Estonia,1497
01 July 2018,93,Faroe Islands,1495
01 July 2018,94,Qatar,1491
01 July 2018,95,Kyrgyz Republic,1479
01 July 2018,96,Georgia,1476
01 July 2018,97,Haiti,1474
01 July 2018,98,Armenia,1469
01 July 2018,99,Libya,1462
01 July 2018,100,Curaçao,1450
01 July 2018,101,Palestine,1449
01 July 2018,102,India,1426
01 July 2018,103,Jordan,1419
01 July 2018,104,Madagascar,1414
01 July 2018,105,Mauritania,1413
01 July 2018,106,Korea DPR,1406
01 July 2018,107,Azerbaijan,1405
01 July 2018,107,Vietnam,1405
01 July 2018,109,Niger,1404
01 July 2018,110,Central African Republic,1402
01 July 2018,111,Zimbabwe,1392
01 July 2018,112,Bahrain,1375
01 July 2018,113,Sierra Leone,1373
01 July 2018,113,Mozambique,1373
01 July 2018,115,Kenya,1370
01 July 2018,116,Thailand,1364
01 July 2018,117,New Zealand,1363
01 July 2018,118,Kazakhstan,1349
01 July 2018,119,Namibia,1338
01 July 2018,120,Togo,1327
01 July 2018,121,Philippines,1318
01 July 2018,122,Guinea-Bissau,1313
01 July 2018,123,Malawi,1310
01 July 2018,124,Nicaragua,1299
01 July 2018,125,Latvia,1297
01 July 2018,125,Tajikistan,1297
01 July 2018,125,Lithuania,1297
01 July 2018,128,Turkmenistan,1295
01 July 2018,129,Equatorial Guinea,1284
01 July 2018,130,St. Kitts and Nevis,1274
01 July 2018,131,Swaziland,1273
01 July 2018,132,Rwanda,1266
01 July 2018,133,Guatemala,1263
01 July 2018,134,Sudan,1259
01 July 2018,135,Antigua and Barbuda,1258
01 July 2018,136,Angola,1256
01 July 2018,137,Botswana,1239
01 July 2018,138,Yemen,1230
01 July 2018,139,Hong Kong,1223
01 July 2018,140,Tanzania,1213
01 July 2018,141,Andorra,1210
01 July 2018,142,Kosovo,1207
01 July 2018,143,Chinese Taipei,1205
01 July 2018,144,Myanmar,1199
01 July 2018,145,Burundi,1189
01 July 2018,146,Afghanistan,1161
01 July 2018,147,Ethiopia,1160
01 July 2018,148,Comoros,1159
01 July 2018,149,Lesotho,1143
01 July 2018,150,Solomon Islands,1141
01 July 2018,151,Liberia,1126
01 July 2018,152,Kuwait,1113
01 July 2018,153,Suriname,1112
01 July 2018,154,New Caledonia,1102
01 July 2018,155,Dominican Republic,1095
01 July 2018,156,Tahiti,1090
01 July 2018,157,Indonesia,1089
01 July 2018,158,Mauritius,1084
01 July 2018,159,Maldives,1079
01 July 2018,160,Vanuatu,1069
01 July 2018,161,South Sudan,1067
01 July 2018,162,Barbados,1059
01 July 2018,163,Belize,1052
01 July 2018,164,Nepal,1044
01 July 2018,165,Papua New Guinea,1036
01 July 2018,166,Singapore,1033
01 July 2018,167,Fiji,1025
01 July 2018,168,Cuba,1018
01 July 2018,168,Chad,1018
01 July 2018,168,Gambia,1018
01 July 2018,171,St. Lucia,1004
01 July 2018,171,Malaysia,1004
01 July 2018,173,Moldova,1000
01 July 2018,174,Grenada,999
01 July 2018,175,Cambodia,992
01 July 2018,176,Puerto Rico,988
01 July 2018,177,St. Vincent / Grenadines,980
01 July 2018,178,Liechtenstein,967
01 July 2018,179,Dominica,966
01 July 2018,180,Bermuda,957
01 July 2018,181,Guyana,953
01 July 2018,182,Laos,946
01 July 2018,183,Malta,941
01 July 2018,184,Guam,938
01 July 2018,185,Sao Tome e Principe,927
01 July 2018,186,Aruba,907
01 July 2018,187,Macau,903
01 July 2018,188,Cook Islands,899
01 July 2018,189,American Samoa,897
01 July 2018,190,Bhutan,891
01 July 2018,191,Seychelles,877
01 July 2018,192,Bangladesh,870
01 July 2018,193,Mongolia,867
01 July 2018,194,Gibraltar,864
01 July 2018,194,Brunei Darussalam,864
01 July 2018,196,Timor-Leste,861
01 July 2018,197,Pakistan,857
01 July 2018,198,Samoa,856
01 July 2018,199,Cayman Islands,849
01 July 2018,200,US Virgin Islands,847
01 July 2018,201,Djibouti,837
01 July 2018,202,Montserrat,835
01 July 2018,203,San Marino,814
01 July 2018,204,Eritrea,811
01 July 2018,204,Sri Lanka,811
01 July 2018,206,Turks and Caicos Islands,810
01 July 2018,207,Somalia,809
01 July 2018,208,British Virgin Islands,806
01 July 2018,209,Bahamas,801
01 July 2018,210,Anguilla,776
01 July 2018,211,Tonga,774
16 August 2018,1,France,1726
16 August 2018,2,Belgium,1723
16 August 2018,3,Brazil,1657
16 August 2018,4,Croatia,1643
16 August 2018,5,Uruguay,1627
16 August 2018,6,England,1615
16 August 2018,7,Portugal,1599
16 August 2018,8,Switzerland,1597
16 August 2018,9,Denmark,1580
16 August 2018,9,Spain,1580
16 August 2018,11,Argentina,1574
16 August 2018,12,Chile,1570
16 August 2018,13,Sweden,1565
16 August 2018,14,Colombia,1563
16 August 2018,15,Germany,1561
16 August 2018,16,Mexico,1560
16 August 2018,17,Netherlands,1540
16 August 2018,18,Poland,1538
16 August 2018,19,Wales,1536
16 August 2018,20,Peru,1535
16 August 2018,21,Italy,1532
16 August 2018,22,USA,1508
16 August 2018,23,Austria,1502
16 August 2018,24,Tunisia,1498
16 August 2018,24,Senegal,1498
16 August 2018,26,Slovakia,1493
16 August 2018,27,Northern Ireland,1492
16 August 2018,28,Romania,1490
16 August 2018,29,Republic of Ireland,1484
16 August 2018,30,Paraguay,1477
16 August 2018,31,Venezuela,1476
16 August 2018,32,Costa Rica,1471
16 August 2018,32,IR Iran,1471
16 August 2018,32,Iceland,1471
16 August 2018,35,Ukraine,1468
16 August 2018,36,Serbia,1459
16 August 2018,37,Congo DR,1456
16 August 2018,38,Turkey,1455
16 August 2018,39,Bosnia and Herzegovina,1452
16 August 2018,40,Scotland,1444
16 August 2018,41,Montenegro,1440
16 August 2018,42,Greece,1436
16 August 2018,43,Australia,1431
16 August 2018,44,Czech Republic,1430
16 August 2018,45,Ghana,1424
16 August 2018,46,Morocco,1418
16 August 2018,47,Cameroon,1416
16 August 2018,47,Bulgaria,1416
16 August 2018,49,Russia,1410
16 August 2018,49,Nigeria,1410
16 August 2018,51,Hungary,1409
16 August 2018,52,Burkina Faso,1408
16 August 2018,53,Norway,1406
16 August 2018,54,Jamaica,1400
16 August 2018,55,Slovenia,1392
16 August 2018,55,Japan,1392
16 August 2018,57,Korea Republic,1387
16 August 2018,58,Albania,1384
16 August 2018,59,Bolivia,1378
16 August 2018,60,Ecuador,1376
16 August 2018,61,Honduras,1368
16 August 2018,62,Finland,1364
16 August 2018,63,Mali,1360
16 August 2018,64,Cape Verde Islands,1356
16 August 2018,65,Egypt,1355
16 August 2018,66,Algeria,1351
16 August 2018,67,Côte d'Ivoire,1344
16 August 2018,67,Guinea,1344
16 August 2018,69,Panama,1343
16 August 2018,70,Saudi Arabia,1336
16 August 2018,70,FYR Macedonia,1336
16 August 2018,72,El Salvador,1332
16 August 2018,73,Syria,1328
16 August 2018,74,South Africa,1327
16 August 2018,75,China PR,1320
16 August 2018,76,Zambia,1315
16 August 2018,77,United Arab Emirates,1312
16 August 2018,78,Belarus,1306
16 August 2018,79,Canada,1304
16 August 2018,79,Lebanon,1304
16 August 2018,81,Curacao,1300
16 August 2018,82,Uganda,1296
16 August 2018,83,Congo,1292
16 August 2018,84,Oman,1288
16 August 2018,85,Luxembourg,1286
16 August 2018,86,Gabon,1284
16 August 2018,87,Cyprus,1280
16 August 2018,88,Benin,1276
16 August 2018,89,Iraq,1274
16 August 2018,90,Faroe Islands,1268
16 August 2018,91,Trinidad and Tobago,1264
16 August 2018,92,Kyrgyz Republic,1260
16 August 2018,93,Israel,1256
16 August 2018,94,Estonia,1250
16 August 2018,95,Uzbekistan,1247
16 August 2018,96,Georgia,1242
16 August 2018,96,India,1242
16 August 2018,98,Qatar,1236
16 August 2018,99,Palestine,1230
16 August 2018,100,Armenia,1227
16 August 2018,101,Libya,1224
16 August 2018,102,Vietnam,1220
16 August 2018,103,Niger,1216
16 August 2018,104,Haiti,1212
16 August 2018,105,Azerbaijan,1207
16 August 2018,106,Mauritania,1200
16 August 2018,107,Madagascar,1199
16 August 2018,108,Korea DPR,1196
16 August 2018,108,Central African Republic,1196
16 August 2018,110,Jordan,1192
16 August 2018,111,Sierra Leone,1188
16 August 2018,112,Kenya,1182
16 August 2018,113,Bahrain,1180
16 August 2018,114,Mozambique,1176
16 August 2018,115,Philippines,1172
16 August 2018,116,Kazakhstan,1167
16 August 2018,117,Namibia,1166
16 August 2018,118,Zimbabwe,1164
16 August 2018,119,New Zealand,1157
16 August 2018,120,Tajikistan,1156
16 August 2018,121,Guinea-Bissau,1148
16 August 2018,122,Thailand,1144
16 August 2018,123,Malawi,1140
16 August 2018,124,Togo,1136
16 August 2018,125,Chinese Taipei,1135
16 August 2018,126,Antigua and Barbuda,1132
16 August 2018,127,Lithuania,1130
16 August 2018,128,Sudan,1128
16 August 2018,129,Latvia,1122
16 August 2018,130,Turkmenistan,1120
16 August 2018,130,Andorra,1120
16 August 2018,132,Nicaragua,1116
16 August 2018,133,Yemen,1112
16 August 2018,134,Swaziland,1105
16 August 2018,135,St. Kitts and Nevis,1104
16 August 2018,136,Rwanda,1100
16 August 2018,137,Angola,1096
16 August 2018,138,Myanmar,1092
16 August 2018,139,Botswana,1089
16 August 2018,140,Tanzania,1084
16 August 2018,141,Kosovo,1080
16 August 2018,142,Hong Kong,1076
16 August 2018,143,Equatorial Guinea,1072
16 August 2018,143,Solomon Islands,1072
16 August 2018,145,Afghanistan,1068
16 August 2018,146,Guatemala,1064
16 August 2018,146,Lesotho,1064
16 August 2018,148,Burundi,1056
16 August 2018,149,Comoros,1052
16 August 2018,150,Maldives,1048
16 August 2018,151,Ethiopia,1044
16 August 2018,152,Dominican Republic,1040
16 August 2018,153,Suriname,1036
16 August 2018,154,New Caledonia,1032
16 August 2018,155,Mauritius,1028
16 August 2018,156,South Sudan,1024
16 August 2018,157,Tahiti,1020
16 August 2018,158,Liberia,1016
16 August 2018,159,Kuwait,1012
16 August 2018,160,Barbados,1005
16 August 2018,161,Nepal,1004
16 August 2018,162,Vanuatu,1000
16 August 2018,163,Belize,999
16 August 2018,164,Indonesia,992
16 August 2018,165,Fiji,985
16 August 2018,166,Papua New Guinea,984
16 August 2018,166,Cambodia,984
16 August 2018,168,Grenada,980
16 August 2018,169,Singapore,976
16 August 2018,170,St. Lucia,972
16 August 2018,171,Malaysia,971
16 August 2018,172,Gambia,964
16 August 2018,173,Puerto Rico,960
16 August 2018,173,St. Vincent / Grenadines,960
16 August 2018,175,Moldova,957
16 August 2018,176,Chad,956
16 August 2018,177,Dominica,952
16 August 2018,178,Bermuda,948
16 August 2018,178,Laos,948
16 August 2018,180,Liechtenstein,944
16 August 2018,181,Cuba,940
16 August 2018,182,Guyana,936
16 August 2018,183,Bhutan,932
16 August 2018,184,Malta,928
16 August 2018,185,Macau,924
16 August 2018,186,Sao Tome e Principe,920
16 August 2018,186,Mongolia,920
16 August 2018,188,Aruba,916
16 August 2018,188,Seychelles,916
16 August 2018,190,Guam,912
16 August 2018,190,Timor-Leste,912
16 August 2018,192,Cook Islands,908
16 August 2018,192,American Samoa,908
16 August 2018,194,Bangladesh,904
16 August 2018,195,Gibraltar,900
16 August 2018,195,Brunei Darussalam,900
16 August 2018,197,Djibouti,896
16 August 2018,197,Samoa,896
16 August 2018,199,US Virgin Islands,892
16 August 2018,200,Sri Lanka,888
16 August 2018,201,Pakistan,884
16 August 2018,202,Cayman Islands,880
16 August 2018,203,San Marino,876
16 August 2018,204,Montserrat,872
16 August 2018,204,British Virgin Islands,872
16 August 2018,206,Eritrea,868
16 August 2018,206,Turks and Caicos Islands,868
16 August 2018,206,Somalia,868
16 August 2018,206,Anguilla,868
16 August 2018,206,Bahamas,868
16 August 2018,206,Tonga,868
20 September 2018,1,France,1729
20 September 2018,1,Belgium,1729
20 September 2018,3,Brazil,1663
20 September 2018,4,Croatia,1634
20 September 2018,5,Uruguay,1632
20 September 2018,6,England,1612
20 September 2018,7,Portugal,1606
20 September 2018,8,Switzerland,1598
20 September 2018,9,Spain,1597
20 September 2018,10,Denmark,1581
20 September 2018,11,Argentina,1575
20 September 2018,12,Chile,1568
20 September 2018,12,Germany,1568
20 September 2018,14,Colombia,1567
20 September 2018,15,Sweden,1550
20 September 2018,15,Mexico,1550
20 September 2018,17,Netherlands,1540
20 September 2018,18,Poland,1537
20 September 2018,19,Wales,1536
20 September 2018,20,Italy,1526
20 September 2018,21,Peru,1525
20 September 2018,22,USA,1510
20 September 2018,23,Tunisia,1503
20 September 2018,24,Austria,1499
20 September 2018,25,Senegal,1492
20 September 2018,26,Slovakia,1491
20 September 2018,27,Romania,1489
20 September 2018,28,Northern Ireland,1487
20 September 2018,29,Ukraine,1483
20 September 2018,30,Republic of Ireland,1478
20 September 2018,31,Paraguay,1477
20 September 2018,32,Venezuela,1476
20 September 2018,33,IR Iran,1474
20 September 2018,34,Bosnia and Herzegovina,1468
20 September 2018,35,Serbia,1463
20 September 2018,36,Iceland,1461
20 September 2018,37,Costa Rica,1460
20 September 2018,38,Turkey,1456
20 September 2018,39,Scotland,1448
20 September 2018,40,Congo DR,1447
20 September 2018,41,Montenegro,1444
20 September 2018,42,Greece,1433
20 September 2018,43,Australia,1431
20 September 2018,44,Bulgaria,1430
20 September 2018,45,Morocco,1425
20 September 2018,46,Russia,1423
20 September 2018,47,Czech Republic,1418
20 September 2018,48,Nigeria,1415
20 September 2018,49,Hungary,1409
20 September 2018,50,Cameroon,1408
20 September 2018,51,Ghana,1407
20 September 2018,52,Norway,1405
20 September 2018,53,Jamaica,1401
20 September 2018,54,Japan,1398
20 September 2018,55,Korea Republic,1395
20 September 2018,56,Burkina Faso,1391
20 September 2018,57,Albania,1383
20 September 2018,58,Ecuador,1378
20 September 2018,58,Finland,1378
20 September 2018,58,Bolivia,1378
20 September 2018,61,Slovenia,1376
20 September 2018,62,Honduras,1368
20 September 2018,63,Mali,1365
20 September 2018,64,Egypt,1364
20 September 2018,65,Guinea,1353
20 September 2018,66,Côte d'Ivoire,1351
20 September 2018,67,Cape Verde Islands,1350
20 September 2018,68,FYR Macedonia,1344
20 September 2018,69,Algeria,1343
20 September 2018,70,Panama,1339
20 September 2018,71,Saudi Arabia,1337
20 September 2018,72,El Salvador,1332
20 September 2018,73,South Africa,1325
20 September 2018,74,Syria,1322
20 September 2018,75,Zambia,1316
20 September 2018,76,China PR,1313
20 September 2018,77,Lebanon,1308
20 September 2018,77,United Arab Emirates,1308
20 September 2018,79,Canada,1307
20 September 2018,80,Belarus,1304
20 September 2018,81,Curacao,1303
20 September 2018,82,Luxembourg,1292
20 September 2018,83,Uganda,1291
20 September 2018,84,Congo,1289
20 September 2018,85,Oman,1287
20 September 2018,86,Cyprus,1283
20 September 2018,87,Gabon,1274
20 September 2018,88,Benin,1273
20 September 2018,89,Iraq,1272
20 September 2018,90,Trinidad and Tobago,1269
20 September 2018,91,Kyrgyz Republic,1265
20 September 2018,92,Faroe Islands,1261
20 September 2018,93,Georgia,1254
20 September 2018,94,Qatar,1247
20 September 2018,94,Israel,1247
20 September 2018,96,Uzbekistan,1245
20 September 2018,97,India,1244
20 September 2018,98,Estonia,1240
20 September 2018,99,Libya,1226
20 September 2018,100,Palestine,1225
20 September 2018,100,Armenia,1225
20 September 2018,102,Vietnam,1220
20 September 2018,103,Mauritania,1217
20 September 2018,104,Haiti,1212
20 September 2018,105,Niger,1207
20 September 2018,106,Madagascar,1205
20 September 2018,107,Kenya,1204
20 September 2018,108,Azerbaijan,1202
20 September 2018,109,Korea DPR,1196
20 September 2018,110,Jordan,1189
20 September 2018,111,Central African Republic,1187
20 September 2018,112,Bahrain,1181
20 September 2018,113,Mozambique,1175
20 September 2018,114,Sierra Leone,1172
20 September 2018,114,Philippines,1172
20 September 2018,116,Namibia,1170
20 September 2018,117,Zimbabwe,1167
20 September 2018,118,Kazakhstan,1160
20 September 2018,119,New Zealand,1157
20 September 2018,120,Tajikistan,1156
20 September 2018,121,Guinea-Bissau,1149
20 September 2018,122,Thailand,1144
20 September 2018,123,Togo,1139
20 September 2018,123,Chinese Taipei,1139
20 September 2018,125,Malawi,1129
20 September 2018,126,Lithuania,1123
20 September 2018,127,Antigua and Barbuda,1122
20 September 2018,128,Andorra,1121
20 September 2018,128,Nicaragua,1121
20 September 2018,130,Turkmenistan,1120
20 September 2018,131,Latvia,1116
20 September 2018,132,Sudan,1114
20 September 2018,133,Yemen,1112
20 September 2018,134,St. Kitts and Nevis,1109
20 September 2018,135,Angola,1108
20 September 2018,136,Swaziland,1101
20 September 2018,137,Rwanda,1093
20 September 2018,138,Myanmar,1092
20 September 2018,138,Kosovo,1092
20 September 2018,140,Tanzania,1089
20 September 2018,141,Equatorial Guinea,1086
20 September 2018,142,Botswana,1077
20 September 2018,143,Hong Kong,1076
20 September 2018,144,Solomon Islands,1073
20 September 2018,145,Lesotho,1070
20 September 2018,146,Afghanistan,1068
20 September 2018,147,Guatemala,1064
20 September 2018,148,Burundi,1061
20 September 2018,149,Ethiopia,1060
20 September 2018,149,Comoros,1060
20 September 2018,151,Maldives,1049
20 September 2018,152,Dominican Republic,1040
20 September 2018,153,Suriname,1035
20 September 2018,154,New Caledonia,1032
20 September 2018,155,Liberia,1023
20 September 2018,156,Mauritius,1022
20 September 2018,157,Tahiti,1020
20 September 2018,158,South Sudan,1019
20 September 2018,159,Kuwait,1014
20 September 2018,160,Nepal,1004
20 September 2018,160,Belize,1004
20 September 2018,162,Barbados,1003
20 September 2018,163,Vanuatu,1000
20 September 2018,164,Indonesia,997
20 September 2018,165,Papua New Guinea,984
20 September 2018,166,St. Lucia,982
20 September 2018,166,Singapore,982
20 September 2018,168,Fiji,981
20 September 2018,169,Cambodia,979
20 September 2018,170,Grenada,976
20 September 2018,171,Malaysia,972
20 September 2018,171,Gambia,972
20 September 2018,173,Moldova,958
20 September 2018,174,Chad,956
20 September 2018,175,St. Vincent / Grenadines,955
20 September 2018,175,Puerto Rico,955
20 September 2018,177,Dominica,953
20 September 2018,178,Liechtenstein,947
20 September 2018,179,Cuba,946
20 September 2018,179,Laos,946
20 September 2018,181,Bermuda,940
20 September 2018,182,Guyana,937
20 September 2018,183,Malta,928
20 September 2018,184,Macau,925
20 September 2018,185,Aruba,924
20 September 2018,186,Mongolia,922
20 September 2018,187,Sao Tome e Principe,920
20 September 2018,188,Bhutan,917
20 September 2018,189,Seychelles,913
20 September 2018,190,Timor-Leste,909
20 September 2018,191,American Samoa,908
20 September 2018,191,Cook Islands,908
20 September 2018,193,Bangladesh,907
20 September 2018,193,Guam,907
20 September 2018,195,Brunei Darussalam,903
20 September 2018,196,Samoa,896
20 September 2018,196,Djibouti,896
20 September 2018,198,Gibraltar,891
20 September 2018,199,Pakistan,890
20 September 2018,199,Sri Lanka,890
20 September 2018,201,US Virgin Islands,889
20 September 2018,202,Cayman Islands,878
20 September 2018,203,British Virgin Islands,872
20 September 2018,204,San Marino,871
20 September 2018,205,Montserrat,870
20 September 2018,206,Tonga,868
20 September 2018,206,Eritrea,868
20 September 2018,206,Somalia,868
20 September 2018,206,Anguilla,868
20 September 2018,210,Turks and Caicos Islands,862
20 September 2018,210,Bahamas,862
25 October 2018,1,Belgium,1733
25 October 2018,2,France,1732
25 October 2018,3,Brazil,1669
25 October 2018,4,Croatia,1635
25 October 2018,5,England,1619
25 October 2018,6,Uruguay,1617
25 October 2018,7,Portugal,1616
25 October 2018,8,Switzerland,1598
25 October 2018,9,Spain,1594
25 October 2018,10,Denmark,1584
25 October 2018,11,Colombia,1575
25 October 2018,12,Argentina,1573
25 October 2018,13,Chile,1568
25 October 2018,14,Germany,1555
25 October 2018,15,Netherlands,1550
25 October 2018,16,Mexico,1549
25 October 2018,17,Sweden,1548
25 October 2018,18,Wales,1538
25 October 2018,19,Italy,1533
25 October 2018,20,Peru,1530
25 October 2018,21,Poland,1523
25 October 2018,22,Tunisia,1515
25 October 2018,23,USA,1506
25 October 2018,24,Austria,1502
25 October 2018,25,Senegal,1501
25 October 2018,26,Romania,1491
25 October 2018,27,Ukraine,1490
25 October 2018,28,Slovakia,1483
25 October 2018,29,Venezuela,1479
25 October 2018,30,IR Iran,1478
25 October 2018,31,Paraguay,1477
25 October 2018,32,Bosnia and Herzegovina,1476
25 October 2018,33,Republic of Ireland,1473
25 October 2018,34,Northern Ireland,1472
25 October 2018,35,Serbia,1471
25 October 2018,36,Iceland,1458
25 October 2018,37,Costa Rica,1452
25 October 2018,38,Turkey,1449
25 October 2018,39,Montenegro,1440
25 October 2018,40,Scotland,1435
25 October 2018,41,Russia,1433
25 October 2018,42,Australia,1432
25 October 2018,42,Greece,1432
25 October 2018,44,Nigeria,1431
25 October 2018,45,Bulgaria,1428
25 October 2018,46,Congo DR,1423
25 October 2018,47,Morocco,1422
25 October 2018,48,Czech Republic,1420
25 October 2018,48,Norway,1420
25 October 2018,50,Japan,1409
25 October 2018,51,Cameroon,1408
25 October 2018,52,Ghana,1407
25 October 2018,53,Korea Republic,1401
25 October 2018,53,Jamaica,1401
25 October 2018,55,Hungary,1400
25 October 2018,56,Finland,1392
25 October 2018,57,Burkina Faso,1390
25 October 2018,58,Egypt,1378
25 October 2018,59,Bolivia,1376
25 October 2018,60,Albania,1372
25 October 2018,61,Ecuador,1371
25 October 2018,62,Honduras,1367
25 October 2018,62,Slovenia,1367
25 October 2018,64,Côte d'Ivoire,1356
25 October 2018,65,Guinea,1354
25 October 2018,66,Mali,1352
25 October 2018,67,Algeria,1339
25 October 2018,68,Cape Verde Islands,1338
25 October 2018,68,FYR Macedonia,1338
25 October 2018,70,El Salvador,1335
25 October 2018,70,Panama,1335
25 October 2018,72,Saudi Arabia,1334
25 October 2018,73,South Africa,1321
25 October 2018,74,Syria,1320
25 October 2018,75,China PR,1317
25 October 2018,76,Canada,1310
25 October 2018,77,Zambia,1308
25 October 2018,78,Belarus,1307
25 October 2018,79,Curacao,1306
25 October 2018,79,Uganda,1306
25 October 2018,81,United Arab Emirates,1305
25 October 2018,82,Lebanon,1300
25 October 2018,83,Gabon,1288
25 October 2018,84,Luxembourg,1287
25 October 2018,84,Oman,1287
25 October 2018,86,Cyprus,1279
25 October 2018,87,Congo,1277
25 October 2018,87,Benin,1277
25 October 2018,89,Iraq,1270
25 October 2018,90,Kyrgyz Republic,1268
25 October 2018,91,Israel,1267
25 October 2018,92,Georgia,1265
25 October 2018,93,Trinidad and Tobago,1263
25 October 2018,94,Uzbekistan,1254
25 October 2018,95,Faroe Islands,1251
25 October 2018,96,Qatar,1248
25 October 2018,97,India,1245
25 October 2018,98,Estonia,1237
25 October 2018,99,Palestine,1233
25 October 2018,100,Madagascar,1224
25 October 2018,101,Armenia,1222
25 October 2018,102,Vietnam,1220
25 October 2018,103,Haiti,1216
25 October 2018,104,Mauritania,1213
25 October 2018,105,Libya,1210
25 October 2018,105,Kenya,1210
25 October 2018,107,Azerbaijan,1207
25 October 2018,108,Niger,1195
25 October 2018,109,Namibia,1192
25 October 2018,110,Korea DPR,1191
25 October 2018,110,Zimbabwe,1191
25 October 2018,112,Jordan,1189
25 October 2018,113,Bahrain,1182
25 October 2018,113,Central African Republic,1182
25 October 2018,115,Sierra Leone,1172
25 October 2018,116,Philippines,1171
25 October 2018,117,Kazakhstan,1166
25 October 2018,118,Tajikistan,1161
25 October 2018,119,New Zealand,1157
25 October 2018,119,Guinea-Bissau,1157
25 October 2018,121,Thailand,1154
25 October 2018,122,Mozambique,1151
25 October 2018,123,Togo,1144
25 October 2018,124,Chinese Taipei,1139
25 October 2018,125,Malawi,1129
25 October 2018,126,Antigua and Barbuda,1126
25 October 2018,127,Nicaragua,1125
25 October 2018,128,Turkmenistan,1120
25 October 2018,129,Lithuania,1117
25 October 2018,130,Angola,1113
25 October 2018,131,Yemen,1112
25 October 2018,132,Latvia,1111
25 October 2018,133,St. Kitts and Nevis,1109
25 October 2018,133,Andorra,1109
25 October 2018,135,Sudan,1105
25 October 2018,136,Tanzania,1101
25 October 2018,137,Kosovo,1099
25 October 2018,138,Rwanda,1092
25 October 2018,139,Swaziland,1088
25 October 2018,140,Botswana,1081
25 October 2018,141,Myanmar,1080
25 October 2018,142,Burundi,1074
25 October 2018,143,Solomon Islands,1073
25 October 2018,144,Hong Kong,1071
25 October 2018,145,Afghanistan,1068
25 October 2018,146,Equatorial Guinea,1067
25 October 2018,147,Guatemala,1064
25 October 2018,148,Comoros,1062
25 October 2018,149,Lesotho,1055
25 October 2018,150,Ethiopia,1054
25 October 2018,151,Maldives,1049
25 October 2018,152,Dominican Republic,1045
25 October 2018,153,Suriname,1040
25 October 2018,154,Liberia,1035
